,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,행정동명,경도,위도
48335,박내과의원,의료,병원,내과/외과,역삼1동,127.0368059,37.49897149
48412,홍수진어린이치과,의료,병원,치과의원,신사동,127.0278969,37.52404691
48434,수서치과의원,의료,병원,치과의원,일원본동,127.0834277,37.48288907
48595,정파종외과의원,의료,병원,내과/외과,대치1동,127.0561248,37.49069353
48776,메이저피부과의원,의료,병원,내과/외과,역삼1동,127.0344573,37.50043005
48807,이원상치과의원,의료,병원,치과병원,개포2동,127.0603019,37.48312189
48851,청담성모치과,의료,병원,치과의원,청담동,127.0475939,37.52309909
48864,트임성형외과의원,의료,병원,내과/외과,역삼1동,127.027137,37.49979331
48917,채치과의원,의료,병원,치과병원,개포2동,127.0681018,37.48874321
48961,튼튼마디한의원,의료,병원,한의원,논현2동,127.0412398,37.51660516
49002,휴한의원,의료,병원,한의원,역삼1동,127.0298722,37.49904991
49026,아름다운얼굴치과의원,의료,병원,치과의원,역삼2동,127.0515499,37.49835192
49084,자연주의의원,의료,병원,내과/외과,역삼1동,127.0364437,37.49899557
49093,고범연치과의원,의료,병원,치과의원,대치1동,127.0626465,37.49456594
49164,아이엠치과의원,의료,병원,치과의원,역삼1동,127.0276118,37.49893221
49217,강상욱한의원,의료,병원,한의원,일원2동,127.0755734,37.49264943
49262,강남영상의학과의원,의료,병원,일반병원,논현2동,127.0412398,37.51660516
49293,김진철성형외과,의료,병원,내과/외과,청담동,127.0427523,37.5266101
49306,연세스타내과의원,의료,병원,내과/외과,논현2동,127.0403846,37.51890491
49337,정준표내과의원,의료,병원,내과/외과,대치1동,127.0588154,37.4979595
49360,이브성형외과,의료,병원,내과/외과,신사동,127.0279247,37.52190263
49391,배독생기한의원,의료,병원,한의원,역삼1동,127.0349349,37.50110974
49418,서문한의원,의료,병원,한의원,도곡2동,127.0454083,37.48595797
49439,신사의원,의료,병원,내과/외과,역삼1동,127.0310437,37.49941093
49462,이택중신경정신과,의료,병원,신경외과,논현1동,127.0210069,37.51626798
49490,압구정도추한의원,의료,병원,한의원,압구정동,127.02863,37.52334111
49753,삼성드림이비인후과의원,의료,병원,이비인후과의원,대치2동,127.0597373,37.50741893
49879,노바에스피부과,의료,병원,내과/외과,역삼1동,127.0278175,37.49877171
49884,고려치과의원,의료,병원,치과의원,대치1동,127.0626465,37.49456594
49905,유상호정형외과의원,의료,병원,내과/외과,역삼1동,127.0333009,37.50679105
49917,이만희치과의원,의료,병원,치과의원,역삼2동,127.0396178,37.49575959
50017,두서울치과,의료,병원,치과의원,대치2동,127.0597373,37.50741893
50042,삼성윤내과의원,의료,병원,내과/외과,수서동,127.1038956,37.48838938
50050,코엔아이성형외과,의료,병원,내과/외과,신사동,127.0277217,37.52446896
50091,동풍한의원,의료,병원,한의원,신사동,127.0268171,37.52443448
50095,다나마취통증의학과의원,의료,병원,일반병원,수서동,127.1024712,37.48836055
50184,정경천치과의원,의료,병원,치과의원,개포2동,127.0668248,37.48867906
50254,유재욱재활의학과의원,의료,병원,일반병원,도곡1동,127.0339006,37.48570223
50318,고정인정신건강의학과,의료,병원,내과/외과,역삼1동,127.0452491,37.50379761
50377,봄여름가을겨울피부과의원,의료,병원,내과/외과,신사동,127.0223298,37.52325308
50496,신승성형외과,의료,병원,내과/외과,압구정동,127.0385076,37.52589082
50621,청담미치과,의료,병원,치과의원,삼성2동,127.0512325,37.5127122
50659,연세플러스비뇨기과의원,의료,병원,비뇨기과,삼성1동,127.0587646,37.50831224
50678,한마음한의원,의료,병원,한의원,역삼1동,127.0468017,37.50622497
50685,강남연세치과의원,의료,병원,치과병원,개포2동,127.0611582,37.48246191
50746,정비뇨기과의원,의료,병원,비뇨기과,논현1동,127.0234857,37.50747621
50917,윤경선의원,의료,병원,일반병원,대치4동,127.0508133,37.50114829
50966,복음치과의원,의료,병원,치과의원,역삼1동,127.0293062,37.49646824
50999,소중한치과,의료,병원,치과의원,역삼1동,127.0322911,37.49214063
51037,황의완한의원,의료,병원,한의원,도곡1동,127.0347356,37.48496118
51056,김인환내과,의료,병원,내과/외과,수서동,127.1018421,37.48801336
51204,제이엘자연치유센터,의료,병원,일반병원,대치2동,127.0578101,37.50596188
51238,아림치과병원,의료,병원,치과병원,삼성1동,127.0585797,37.50862613
51283,마인드힐링정신건강의학과의원,의료,병원,내과/외과,대치4동,127.0510543,37.50355605
51312,소리케어보청기,의료,병원,이비인후과의원,청담동,127.0485651,37.51878187
51476,스마트정형외과의원,의료,병원,내과/외과,역삼1동,127.0344573,37.50043005
51626,환희치과,의료,병원,치과의원,대치4동,127.0551474,37.49736255
51627,이스트만치과,의료,병원,치과의원,신사동,127.0279653,37.52661547
51700,박치과의원,의료,병원,치과의원,역삼2동,127.041047,37.49277068
51756,좋은아침한의원,의료,병원,한의원,대치1동,127.0591471,37.4931595
51851,4월31일치과,의료,병원,치과의원,논현1동,127.0218672,37.51102198
51874,미예로뷰티치과의원,의료,병원,치과의원,논현2동,127.0394623,37.51495981
52040,4월31일성형외과,의료,병원,치과의원,논현1동,127.0218672,37.51102198
52061,조은내과의원,의료,병원,내과/외과,개포2동,127.0668248,37.48867906
52081,우아성한의원,의료,병원,한의원,도곡1동,127.0335177,37.486465
52082,닥터유치과의원,의료,병원,치과의원,논현2동,127.033319,37.51503584
52109,청담도원한의원,의료,병원,한의원,청담동,127.045698,37.51829019
52256,순천당한의원,의료,병원,한의원,논현2동,127.0403846,37.51890491
52322,김영찬내과,의료,병원,내과/외과,압구정동,127.0383592,37.52334864
